,0.1,0.3,0.5,0.7,1.0
2,710.0,31.0,10.0,5.0,2.0
5,467.0,18.0,5.0,5.0,4.0
10,389.0,15.0,9.0,6.0,3.0
25,578.0,25.0,17.0,12.0,5.0
50,827.0,51.0,27.0,11.0,5.0
75,1012.0,71.0,31.0,12.0,5.0
