,0.1,0.3,0.5,0.7,1.0
2,25.0,51.0,14.0,1.0,1.0
5,30.0,14.0,3.0,2.0,9.0
10,33.0,10.0,37.0,9.0,11.0
25,44.0,13.0,10.0,14.0,7.0
50,37.0,21.0,13.0,13.0,13.0
75,28.0,32.0,27.0,16.0,23.0
