,0.1,0.3,0.5,0.7,1.0
2,49.03239599535912,16665.481742111482,31469.9601655123,40616.673650906974,48187.39285766736
5,2499.060483471244,34312.327770577256,46818.33819689698,49247.380556054915,49968.09065420574
10,5559.720667134639,42763.898261669434,49944.38699777567,49944.38699777567,254022.45938732676
25,5666.6656797085025,46979.49404264836,49811.56584441321,96925.34266941466,525916.6850472898
50,4179.266792972312,47253.109993112266,56659.89989046647,92278.78436509366,629486.8975766536
75,3569.0345805733177,47727.68927175745,54031.024945336976,161631.28098788814,745676.5248395123
