,0.1,0.3,0.5,0.7,1.0
2,50.519112209407695,17002.44689621175,31406.851702686883,40595.84352882207,48163.82151874536
5,2591.695115458918,34212.46843318861,46188.08204050544,49179.81414022135,49968.09065420574
10,5720.11835188459,42578.00250273159,49944.38699777567,49944.38699777567,290781.5115126245
25,5743.295437182775,46900.963508784494,49811.56584441321,96925.34266941465,529960.3152169547
50,4184.279236906616,47515.247163508466,49586.08700265743,1804919.5924104194,656861.1478058383
75,3505.2554773395245,47922.39376150873,49272.90384103437,171534.05299335075,738029.4781737347
