,0.1,0.3,0.5,0.7,1.0
2,51.36597751030825,20579.95918166971,36568.14577350081,44991.82189122933,49405.83835036409
5,2739.3841916799915,39616.12304043983,48310.452338753,49922.50659105986,143793.64066636853
10,6104.644461520808,46807.15350316515,49944.38699777566,68927.17719650599,380876.24404500384
25,6004.794090108611,48912.587508100405,49956.85066281574,128591.796731476,651768.5225361034
50,4253.511602468996,48737.85001267523,52467.331845589535,192297.11277737544,881846.7641010083
75,3569.179686211813,48482.52594004586,54466.6159976428,245274.18030529164,961882.6679982285
