,0.1,0.3,0.5,0.7,1.0
2,2228.1107661902656,10533.412308199766,16726.874012540786,20391.81832519902,24910.084386863487
5,4282.962683421458,18112.88208647562,25102.88856971427,25102.888569714272,82860.50355630541
10,6190.688301567721,23063.722882197508,29747.242265948807,117644.89708131364,379530.73678749596
25,6989.282533564146,26648.52971250267,67399.18096144922,145402.5604129306,392670.8764225039
50,7080.923224646736,29712.60312310844,89117.45510610579,252196.63593670982,456279.59991525224
75,7024.620809161427,29781.566123766832,112612.82865212245,264741.5312523387,455183.2682938216
