,0.1,0.3,0.5,0.7,1.0
2,2201.1382357361686,10409.657662578356,16217.142388319731,20380.951070699473,24910.084386863487
5,4216.985195689674,18063.240254519573,25102.88856971427,25102.88856971427,82860.50355630541
10,6194.625473617358,23089.96699251459,29747.242265948807,117644.89708131365,379530.7367874961
25,6963.461829658046,29776.142163275,67399.18096144924,145402.5604129306,392670.8764225039
50,7003.149507940332,25646.499016265712,91538.4568124179,252197.16397408763,456279.6209355776
75,7119.593782379463,27002.5681042295,112612.82865212244,249779.08366352503,455183.26829382166
