,0.1,0.3,0.5,0.7,1.0
2,1117.495076651023,5351.902754278637,9850.60226553607,11301.874906202846,234021.47382724145
5,2393.280516016301,9754.406455600154,26573.669324809995,72547.24690073868,259507.94306244794
10,2861.7179121713243,17887.55581506924,97012.85938943944,190880.96211170766,242187.67357685656
25,3831.3770591211673,27434.742566813737,107877.31312410445,161464.9049000768,269668.1910339845
50,4687.951913266171,40022.32147097382,120044.13184994858,120044.13184994856,280891.6209807866
75,4383.979731117345,30117.537288273685,91338.6811069773,127571.87279422034,415298.08835991647
