,0.1,0.3,0.5,0.7,1.0
2,860.8201056163036,4084.2628596866334,8453.964374009236,10065.485350455747,136242.03953324212
5,1967.2128552867898,8038.593978678708,15921.579634491209,37565.51221724634,165313.20816816302
10,2363.941838425649,10872.555039350918,36759.6207091813,85612.13592569742,172230.21982696484
25,3199.023750433014,18914.250072364248,70148.09211678433,110666.46861873775,176522.5379392387
50,3810.266892561271,28169.58015897083,77008.77174141856,77008.77174141858,226541.20399681226
75,3680.892360922232,21415.064644962087,67788.74900612578,84321.38408105969,231698.83480002586
