,0.1,0.3,0.5,0.7,1.0
2,100.0,91.0,13.0,1.0,0.0
5,100.0,35.0,3.0,4.0,1.0
10,100.0,22.0,4.0,8.0,14.0
25,100.0,18.0,11.0,15.0,9.0
50,100.0,21.0,11.0,14.0,14.0
75,100.0,100.0,17.0,14.0,23.0
