,0.1,0.3,0.5,0.7,1.0
2,44.60702597864087,16653.983689882647,31488.746377180425,40767.53966000221,46371.44519675406
5,2416.9099007680243,34378.63338384736,46826.39357060872,49247.86228595329,49968.09065420574
10,5555.417286083777,42746.143329429724,49944.38699777566,49944.38699777568,254022.4593873268
25,5736.754623147023,47049.605442397864,63453.25091286645,96925.34266941465,525916.6850472899
50,4154.641189668827,47406.07990817306,56659.25669866922,92278.78436509367,743499.5848527534
75,3569.1528795147524,47510.12550623066,54027.21758638806,161631.2809878881,754464.8446719364
