,0.1,0.3,0.5,0.7,1.0
2,1265.0304209253645,5728.947450086226,9707.591136012443,34066.16088348715,136242.03953324215
5,2593.259425250743,10230.64836948785,29660.388771187307,58928.131651179385,178310.21500835512
10,3002.7843252524926,19617.223121351548,93459.46725861802,154903.21911564056,278296.97397046123
25,4046.594507876446,26037.33105623199,73286.98962437629,121593.50886287735,285295.9487457376
50,4819.874900963722,33238.54516338763,82918.61762860963,121044.61995917947,302770.20788513625
75,4435.359404152125,32344.408013289347,83395.02500117838,116366.65587193795,270770.61804492935
