,0.1,0.3,0.5,0.7,1.0
2,4915.0,414.0,37.0,10.0,4.0
5,3471.0,54.0,10.0,6.0,5.0
10,2620.0,32.0,10.0,10.0,7.0
25,2880.0,41.0,25.0,22.0,11.0
50,3423.0,73.0,50.0,45.0,12.0
75,3679.0,100.0,75.0,57.0,16.0
