,0.1,0.3,0.5,0.7,1.0
2,95.15367400796885,20320.647865902592,37387.16017034261,53733.73654737032,87428.98055768979
5,3927.501904823759,42037.179468241535,68549.01888781178,85883.54333723776,90201.56829759477
10,8344.911982748165,58392.83048987059,91371.72136106652,91371.72136106652,488202.81668967014
25,8772.276164006653,76144.27145244865,99614.53813757034,174203.9937153888,920185.3042383164
50,6696.9250448037965,80331.48777145328,110423.25253807087,166653.6424436004,1015888.7002730407
75,5833.368954544699,83173.29964211019,102330.53875866215,277643.2963351729,1141743.5384120161
