,0.1,0.3,0.5,0.7,1.0
2,2389.1368080534653,10477.208127887408,16087.344942796144,20374.022348154143,24910.084386863487
5,4470.512918409555,18091.795640496748,25102.888569714265,25102.88856971427,133589.62741516638
10,6376.55346814976,22977.55609527431,29747.242265948807,140085.34226731263,456782.82921736856
25,7152.660830018656,24982.28243880925,78058.17269987945,135342.58419742546,426151.46298521024
50,7249.756851244152,24612.961772390663,94890.25084734918,258736.14297335787,450313.1081764209
75,7306.331839148118,28400.378081706833,115476.40741729017,247264.65556457127,480899.8006781569
