,0.1,0.3,0.5,0.7,1.0
2,1.0,100.0,100.0,100.0,100.0
5,4.0,100.0,100.0,22.0,1.0
10,4.0,100.0,1.0,1.0,2.0
25,3.0,100.0,1.0,1.0,3.0
50,3.0,16.0,6.0,3.0,19.0
75,2.0,9.0,4.0,4.0,20.0
