,0.1,0.3,0.5,0.7,1.0
2,51.36597751030825,17102.837864715028,31524.563108583527,40572.11561537203,46339.61566484654
5,2581.198741159564,34462.17974044818,46224.15054992623,49186.24941445045,49968.09065420574
10,5722.943370650825,42687.91113918856,49944.38699777566,49944.38699777567,290781.51151262445
25,5780.480510920783,46937.20499623323,49811.56584441321,96925.34266941465,529960.3152169548
50,4188.791269708611,47654.631094446784,49586.08700265743,1804919.5924104194,715480.4005449086
75,3495.7988529661216,47766.93736181054,49272.90384103438,176147.30392011107,745138.6113909082
