,0.1,0.3,0.5,0.7,1.0
2,870.9188385517733,4166.893462913209,8480.243605778893,10162.246576641526,136242.03953324215
5,1938.6085376792496,7779.700593000847,15921.473051244975,37564.876433011865,143884.7712586219
10,2330.192729247576,11940.614370574207,36758.94162729677,85612.13592569742,172230.21982696487
25,3278.4425719292694,20233.21292666876,70148.22334022434,110665.47260089465,176522.5379392387
50,3895.974607157361,27977.490088259583,77009.419072349,77009.28221266113,226541.20399681228
75,3643.6902668123817,21042.362785525023,67783.32758993455,84321.4273340195,231703.0212553218
