,0.1,0.3,0.5,0.7,1.0
2,84.7127589488616,20116.985200082207,36490.676938524666,52539.9101458924,72702.6182251041
5,3844.956265579143,42173.941505453644,65380.29670340753,85883.47068355129,90201.56829759479
10,8307.4641800728,58418.24315441872,91371.7213610665,91371.72136106653,488202.8166896702
25,8709.151059643114,78521.05489025825,119841.45801372637,175117.66796316183,920185.1547541849
50,6648.978468950982,79974.65389766329,110423.25253807087,166653.64244360034,1181341.3553110173
75,5833.425876877794,83004.9677753858,102094.94224541265,277643.1539564581,1103280.0654526427
