,0.1,0.3,0.5,0.7,1.0
2,3126.2907914356724,13881.921363834352,19408.201215873603,23478.7959879409,24921.926605631095
5,5306.679469527662,21202.077816251098,26231.70878510962,40737.097713105875,178070.162026467
10,7599.97099958671,26219.39084867092,50796.139028601,176385.31162665883,513501.33277463017
25,8384.691951499266,29611.64576757813,109271.99553882048,286555.72852007265,589888.9286104951
50,8384.026350994836,31436.212182646617,131899.71341386612,349185.02424858784,610024.9243979699
75,8314.01825623267,37306.54062871566,153937.72788864817,319075.7166222635,614305.5920392262
