,0.1,0.3,0.5,0.7,1.0
2,100.0,100.0,100.0,100.0,1.0
5,100.0,100.0,1.0,1.0,1.0
10,100.0,100.0,1.0,2.0,3.0
25,12.0,11.0,5.0,7.0,6.0
50,8.0,14.0,8.0,18.0,27.0
75,6.0,10.0,27.0,71.0,15.0
