,0.1,0.3,0.5,0.7,1.0
2,21.0,96.0,60.0,31.0,1.0
5,15.0,32.0,1.0,2.0,3.0
10,15.0,22.0,2.0,5.0,6.0
25,9.0,4.0,16.0,7.0,40.0
50,11.0,4.0,15.0,11.0,40.0
75,9.0,13.0,26.0,22.0,34.0
