,0.1,0.3,0.5,0.7,1.0
2,898.6668371699097,4084.7582027171666,8445.429512915505,10065.485350455749,136242.03953324212
5,1909.4473012231063,7792.456473166384,15921.57963449121,37565.51221724633,165313.20816816305
10,2431.6539394110528,11941.2309585627,36758.94162729677,85612.13592569741,172230.21982696484
25,3160.0837385902023,18914.250072364244,70148.09211678433,110667.41504722454,176522.5379392387
50,3783.190479918622,26258.215563804228,77009.7445459715,77009.7445459715,226541.20399681228
75,3708.7137994517752,21412.49486678743,67788.68468221494,84321.3840810597,231698.8348000258
