,0.1,0.3,0.5,0.7,1.0
2,50.6026746997407,20688.6714992633,36535.96437560986,45330.00459053929,49485.4446049648
5,2760.7818645752914,39648.273983321254,48312.682019424654,49922.883343859445,144121.28289249676
10,6110.326310072995,46780.07397995989,49944.67211350446,68899.17256134153,381187.5238143784
25,6029.743154422844,48915.62117991338,49957.333693592744,134637.11424146986,652006.8817978224
50,4276.078841367431,48691.18569438455,52467.66341954687,187956.82643271415,872164.7318851561
75,3570.811048928273,48571.34297119975,54885.70979493649,249684.688113119,970898.9218560153
