,0.1,0.3,0.5,0.7,1.0
2,3086.1446982091447,13871.700840282114,19398.99645872893,23475.74717662084,24923.18247890979
5,5273.901846530848,21192.448131717247,26229.6130179944,40694.36778210185,177922.1600814164
10,7559.881112896857,26216.016799481695,50726.30735459944,176312.55668490057,513517.2266408851
25,8392.114599929899,29596.286460924774,109276.32801406362,286697.65553849546,589638.8389986082
50,8353.794903478187,31442.53378927913,129822.59734246698,349158.0783609657,609974.0198068134
75,8301.376468026578,37201.32121980164,153875.6957332858,321372.6206966773,614309.1858448825
