,0.1,0.3,0.5,0.7,1.0
2,1275.5322893761902,5731.4566463368055,9706.5616301456,34062.72714562752,136242.04366027022
5,2598.104480838428,10221.120247284594,29654.672104394358,58907.152729436304,178276.28270427673
10,3010.6688491527975,19618.346647646482,93501.3004427551,154924.14224089624,278307.0937518256
25,4051.7451544457695,26310.071716208902,73288.06601068232,121635.91453872569,285328.7208741218
50,4811.93772266681,33246.02217950783,82882.58150996608,120956.1875399518,302990.1398078377
75,4438.825622282939,32132.533786281565,83380.89769952768,116355.44954211537,270799.38401927816
