,0.1,0.3,0.5,0.7,1.0
2,886.9444987734158,4166.274190365898,8480.369264112433,10162.246576641526,136242.04366027022
5,1932.2708646997298,7779.0881394917515,15921.473051244977,37564.87643301187,143884.77125862194
10,2397.95605026243,11940.854379746934,36758.94162729677,85612.13592569741,172230.21982696487
25,3235.19448953277,20233.174248241863,70148.09211678433,110665.24457229399,176522.5379392387
50,3893.7026303374396,27977.65205927599,77009.73385562834,77009.28221266113,226541.20399681228
75,3660.0789713503245,21040.623334775286,67783.23411484105,84321.8704449011,231703.02125532183
