,0.1,0.3,0.5,0.7,1.0
2,1.0,11.0,61.0,39.0,53.0
5,2.0,23.0,35.0,15.0,1.0
10,2.0,30.0,1.0,1.0,2.0
25,3.0,21.0,11.0,1.0,3.0
50,2.0,9.0,8.0,3.0,5.0
75,2.0,10.0,3.0,4.0,11.0
