,0.1,0.3,0.5,0.7,1.0
2,2856.9713862530034,12238.006917509241,19487.810620651533,29161.49744087945,45051.65167656806
5,5339.410535187681,22700.361022568904,40570.447773604814,40570.44777360482,135244.51266742416
10,7744.18778311003,30946.310724034643,46727.64204120711,235115.3201423267,661878.8983076207
25,8872.944905135002,48524.87669008429,130040.07241113696,241093.88467047957,604910.1789244459
50,9355.872905695313,53115.6017005942,150989.9434220033,406674.0101008355,706396.3797646195
75,9362.326118844707,51593.191736232606,168504.97365886276,379113.8562032271,631176.4632608487
