,0.1,0.3,0.5,0.7,1.0
2,2932.6006554164596,12212.610188783987,20344.472655669262,28361.50105385787,45051.65167656806
5,5342.178782921991,22375.38547281096,40570.447773604814,40570.447773604814,135244.51266742416
10,7735.9736709420995,31965.506968754435,46727.64204120711,235115.35587143592,661878.8983076208
25,8880.75806077783,52306.12484819513,130040.17224297377,241093.92467009573,604910.2430922505
50,9293.319877333977,56059.59780453988,154655.70395157713,406674.03805027413,706396.4116851677
75,9481.679736699232,50430.611622028875,168504.98973567266,373444.46949238284,631176.5082132438
