,0.1,0.3,0.5,0.7,1.0
2,2305.266419276841,10479.604497817587,16035.05304612119,20351.097682343367,24910.084386863487
5,4342.302047134261,18012.419658917763,25102.888569714272,25102.888569714272,133589.62741516638
10,6315.9147708491755,22985.17774481013,29747.242265948804,140084.23348843612,456782.8292173685
25,7153.4304443678375,24982.282438809245,78058.17269987945,135342.58419742546,426151.4629852101
50,7256.990983825095,24612.961772390663,95466.3195704025,258736.1429733579,450313.1081764209
75,7308.52499579383,29760.12292438765,115857.38761538539,247264.65556457124,480899.60177838843
