,0.1,0.3,0.5,0.7,1.0
2,38.0,7.0,3.0,2.0,1.0
5,39.0,8.0,4.0,3.0,2.0
10,51.0,9.0,5.0,3.0,2.0
25,62.0,10.0,4.0,3.0,2.0
50,72.0,10.0,4.0,4.0,2.0
75,84.0,14.0,5.0,4.0,2.0
