,0.1,0.3,0.5,0.7,1.0
2,1122.9604645009545,5208.544212294926,10109.484538797622,11301.874906202844,234021.4738272414
5,2344.1133436470614,9784.592807780558,26573.669324809995,72547.24690073868,259508.0823156582
10,2850.3352138323216,17141.956879584093,97850.16235747005,190880.96211170766,242187.67357685656
25,3948.213147176292,27434.742566813737,107877.31312410445,161464.9049000768,269668.1910339845
50,4688.250316320233,41021.646674380114,120044.13184994858,120044.1318499486,280891.6209807866
75,4500.432122437203,30117.598863304007,91338.68994618817,127571.87279422035,415298.08835991647
