,0.1,0.3,0.5,0.7,1.0
2,8.0,65.0,41.0,21.0,1.0
5,12.0,33.0,1.0,1.0,1.0
10,16.0,22.0,1.0,2.0,3.0
25,9.0,14.0,5.0,7.0,6.0
50,6.0,10.0,7.0,18.0,27.0
75,9.0,11.0,27.0,13.0,15.0
