,10,25,50,75
2,7.0,15.333333333333334,16.333333333333336,13.666666666666664
10,1.0,1.0,3.333333333333333,1.6666666666666665
20,1.0,1.0,2.0,2.333333333333333
40,1.0,1.0,1.0,2.0
60,1.0,1.0,1.0,1.9999999999999998
