,10,25,50
2,0.8473775675342459,0.7713356853278229,0.718876367139117
5,0.9979551118107861,0.9904753181497364,0.9862495101638343
20,1.0,1.0,0.9988423339791179
50,1.0,0.9998673734933206,1.0
