,10,25,50,75
2,10.0,12.333333333333332,14.0,12.666666666666668
10,1.0,1.0,3.666666666666667,3.0
20,1.0,2.666666666666667,1.6666666666666665,1.6666666666666665
40,1.0,2.3333333333333335,1.3333333333333333,2.0
60,1.0,1.0,1.0,1.0
